Gender,Age,Educational Qualification ,How many online courses have you taken before COVID-19 pandemic? [Before COVID-19] ,"
How many online courses have you taken after COVID-19 pandemic? [After COVID-19] ","
How often do you upskill yourself? ",Which digital platform do you prefer for upskilling?,How much money do you spend on Upskilling in Digital Platforms?,How much do you agree with the features of upskilling given below? [Usefulness] ,"
12. How much do you agree with the features of upskilling given below?
 [Enhances  job opportunities] ","
13. How much do you agree with benefits of upskilling stated below?
 [Improves knowledge] ","
Is upskilling through digital platforms more beneficial than traditional / offline methods?  ","
Would you suggest upskilling through Digital Platform to others? "
Male,23,UG,1,3 and more,Once in a year,Udemy,"Less than 10,000",4,5,5,Yes,No
Male,25,PG,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",4,5,5,Yes,Yes
Male,22,UG,1,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",4,1,3,No,Yes
Female,35,Professional,2,1,Once in every 6 months,Udemy,"Less than 10,000",3,1,1,No,No
Female,18,UG,1,3 and more,Once in every 6 months,Udemy,"Less than 10,000",2,4,2,No,Yes
Male,19,UG,1,2,Once in every 6 months,LinkedIn,"Less than 10,000",4,5,4,No,Yes
Male,23,PG,1,2,Once in every 3 months,Udemy,"Less than 10,000",3,2,5,No,Yes
Male,24,PG,2,3 and more,Once in every 6 months,Coursera,"Less than 10,000",3,4,5,No,Yes
Male,25,Professional,1,3 and more,Once in every 3 months,NPTEL,"Less than 10,000",4,5,5,No,Yes
Male,27,Professional,2,2,Once in every 6 months,Coursera,"Less than 10,000",3,3,5,Yes,No
Male,24,UG,3 and more,2,Once in every 3 months,Udemy,"Less than 10,000",3,4,5,Yes,No
Male,26,PG,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",4,3,4,No,Yes
Male,18,UG,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,3,2,Yes,No
Male,20,UG,2,2,Whenever required,NPTEL,"Less than 10,000",5,4,3,Yes,No
Male,43,Professional,1,2,Once in every 3 months,LinkedIn,"Less than 10,000",3,4,5,No,Yes
Female,24,PG,3 and more,1,Once in a year,LinkedIn,"Less than 10,000",2,4,5,No,Yes
Female,27,Professional,1,2,Once in every 6 months,Udemy,"Less than 10,000",4,3,4,No,Yes
Male,22,UG,2,3 and more,Whenever required,NPTEL,"Less than 10,000",4,4,4,Yes,Yes
Male,20,UG,None,3 and more,Once in every 3 months,LinkedIn,"Less than 10,000",2,4,3,Yes,Yes
Female,20,UG,1,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,No,Yes
Male,18,UG,1,2,Whenever required,NPTEL,"Less than 10,000",3,1,5,Yes,No
Male,21,UG,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Male,39,Professional,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",5,5,5,No,Yes
Male,40,Professional,3 and more,3 and more,Whenever required,NPTEL,"10,000 - 25,000",5,5,5,Yes,Yes
Female,41,Professional,3 and more,3 and more,Once in every 6 months,NPTEL,"10,000 - 25,000",5,5,5,Yes,Yes
Female,23,Professional,3 and more,2,Once in every 3 months,Coursera,"Less than 10,000",3,3,4,No,Yes
Male,19,UG,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,4,No,Yes
Female,54,Professional,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Male,19,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",3,4,4,Yes,Yes
Male,23,UG,None,3 and more,Once in every 3 months,NPTEL,"Less than 10,000",4,5,4,Yes,Yes
Male,28,Professional,1,None,Once in every 6 months,LinkedIn,"Less than 10,000",3,3,2,Yes,No
Female,20,UG,2,3 and more,Whenever required,Udemy,"Less than 10,000",4,5,5,No,No
Male,29,Professional,3 and more,3 and more,Once in every 6 months,Udemy,"Less than 10,000",4,5,5,Yes,No
Female,50,UG,2,3 and more,Once in a year,LinkedIn,"Less than 10,000",4,5,3,Yes,No
Female,34,Professional,2,1,Once in every 6 months,NPTEL,"Less than 10,000",3,1,5,No,No
Female,47,Professional,1,3 and more,Once in every 6 months,Coursera,"Less than 10,000",2,5,1,Yes,Yes
Male,34,Professional,2,2,Whenever required,Udemy,"Less than 10,000",4,5,3,Yes,No
Male,32,Professional,1,1,Once in a year,LinkedIn,"Less than 10,000",1,5,5,Yes,Yes
Female,57,Professional,1,2,Whenever required,Udemy,"Less than 10,000",3,4,2,No,Yes
Female,56,Professional,2,None,Once in every 6 months,Coursera,"Less than 10,000",3,4,2,No,Yes
Male,23,PG,None,None,Once in every 6 months,Coursera,"Less than 10,000",2,3,3,Yes,Yes
Male,25,Professional,2,2,Once in every 3 months,LinkedIn,"Less than 10,000",3,4,4,No,No
Female,42,Professional,1,2,Once in every 6 months,LinkedIn,"Less than 10,000",4,3,3,No,Yes
Female,20,UG,2,2,Once in every 6 months,Coursera,"Less than 10,000",3,4,1,No,No
Female,42,Professional,3 and more,1,Once in every 3 months,Udemy,"Less than 10,000",3,3,4,Yes,Yes
Male,27,Professional,2,1,Once in every 6 months,Udemy,"Less than 10,000",2,2,5,No,Yes
Male,43,Professional,2,2,Once in every 6 months,Coursera,"Less than 10,000",3,4,3,No,Yes
Female,54,Professional,2,3 and more,Once in every 3 months,LinkedIn,"10,000 - 25,000",3,1,2,Yes,Yes
Female,42,Professional,2,1,Once in every 3 months,Udemy,"Less than 10,000",3,3,4,Yes,No
Male,30,Professional,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",4,3,4,Yes,Yes
Male,20,UG,1,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,5,Yes,Yes
Male,42,Professional,None,None,Whenever required,NPTEL,"Less than 10,000",1,1,1,No,No
Male,30,Professional,2,2,Once in a year,NPTEL,"Less than 10,000",1,1,1,No,No
Male,32,Professional,3 and more,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",2,3,4,No,Yes
Male,19,UG,None,None,Whenever required,NPTEL,"Less than 10,000",4,4,4,No,No
Male,19,Diploma,1,2,Whenever required,Coursera,"Less than 10,000",3,4,2,No,Yes
Female,19,Diploma,None,None,Once in a year,Udemy,"Less than 10,000",1,1,1,No,No
Male,20,Diploma,2,2,Once in every 6 months,Udemy,"Less than 10,000",5,5,3,No,Yes
Male,21,Diploma,1,2,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,No,No
Male,20,UG,1,2,Once in a year,Coursera,"Less than 10,000",5,1,2,No,Yes
Male,19,UG,3 and more,3 and more,Once in a year,Coursera,"Less than 10,000",4,5,5,Yes,Yes
Male,44,Professional,2,None,Once in a year,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,20,UG,2,3 and more,Once in a year,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,1,2,Once in every 6 months,Udemy,"Less than 10,000",4,3,5,Yes,Yes
Male,55,Professional,3 and more,3 and more,Once in a year,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,19,UG,None,1,Once in a year,NPTEL,"Less than 10,000",3,3,3,No,No
Female,19,UG,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",4,4,4,No,Yes
Male,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,Yes
Male,19,Diploma,None,None,Whenever required,NPTEL,"Less than 10,000",3,3,3,No,Yes
Female,25,PG,None,2,Whenever required,Udemy,"Less than 10,000",1,1,1,No,Yes
Female,20,UG,None,2,Whenever required,LinkedIn,"Less than 10,000",4,4,5,Yes,No
Male,19,UG,None,1,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,21,UG,3 and more,2,Once in a year,LinkedIn,"Less than 10,000",3,4,4,Yes,Yes
Male,37,Professional,3 and more,3 and more,Once in every 3 months,NPTEL,"Less than 10,000",1,1,1,Yes,Yes
Female,30,Professional,1,2,Once in every 6 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Male,20,UG,None,3 and more,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,No
Male,22,UG,1,1,Once in a year,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,20,UG,None,None,Whenever required,NPTEL,"Less than 10,000",5,4,4,No,Yes
Male,23,UG,None,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",4,5,4,No,No
Male,25,Professional,2,2,Once in every 6 months,Coursera,"Less than 10,000",3,4,4,Yes,Yes
Female,20,UG,2,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,24,Professional,3 and more,3 and more,Once in every 6 months,Coursera,"Less than 10,000",4,5,5,No,No
Male,20,UG,1,1,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,No
Male,18,UG,1,1,Once in every 3 months,LinkedIn,"Less than 10,000",3,3,4,No,No
Female,21,UG,2,2,Once in every 6 months,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,21,UG,2,2,Once in a year,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,23,PG,1,1,Whenever required,NPTEL,"Less than 10,000",2,3,2,Yes,Yes
Female,24,Professional,2,2,Once in every 6 months,Udemy,"Less than 10,000",3,2,2,Yes,Yes
Female,43,Professional,2,3 and more,Whenever required,LinkedIn,"Less than 10,000",4,3,4,No,Yes
Female,20,UG,None,None,Whenever required,NPTEL,"Less than 10,000",1,1,1,No,Yes
Male,21,Diploma,1,1,Once in every 6 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,18,Diploma,1,1,Whenever required,Udemy,"Less than 10,000",4,4,4,No,No
Male,19,Diploma,2,2,Once in every 6 months,Udemy,"Less than 10,000",3,2,5,Yes,No
Male,20,UG,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
